X,Y
293700.0578778135,6676183.6816720255,3.967071213259136
533107.1836734693,6911348.319727891,3.771684181108572
387085.4747081712,7306639.13618677,3.9781374325011454
235071.8995215311,7005657.897926635,4.857879495457172
386267.0448430493,6678990.459523248,2.2066021916333387
377026.4672131148,7134873.086065575,3.10947801866285
496246.98507462686,7275724.940298507,2.57772810038092
570277.4615384616,6775256.182336182,5.146993811994365
327925.25116588944,6818038.293137908,2.0575592984017987
358312.98795180727,6771628.575903615,2.0360729873125263
620986.7897435897,6863896.974358974,3.091574117679977
514448.5817174515,6838123.6398891965,3.1186779849158794
542716.9421965318,7122604.421965318,4.470172173017604
238981.55393586005,6712107.839650146,2.4846968776778446
496955.08865979384,6710732.181443299,1.8413857915150844
223328.2166212534,6828511.201634877,4.981921963725191
511833.2727272727,7436888.734265734,4.724281223529475
439653.76171875,7378510.56640625,2.9717271216037187
437387.7369127516,6901686.727516778,4.875208094915335
446024.5342465753,6807189.415525114,3.13586001314323
295204.0195729537,6977352.361209964,3.6930145261778753
381499.06451612903,7504330.112903225,2.4356338133856488
414874.4005449591,6702192.050408719,4.881086775364434
276119.8050139276,6737062.030640668,3.617789730331425
231374.9657794677,6935959.634980989,3.4143794564052685
347223.1050955414,6681573.695859873,3.898775622960791
536995.0171428572,6979910.304761904,3.306080162377245
381806.18287937745,6867987.443579767,4.417822988463953
328786.00613496936,6929915.705521473,4.302467238169748
587077.2385321101,7317226.660550459,4.823575854410045
282694.3204134367,6801841.198966408,2.6303786354466694
413130.60130718956,7016215.7450980395,2.2994037963194294
375651.03162650607,6725126.012048193,1.824758922120423
431020.5777331996,7208741.268806419,5.04522609680237
482162.9225473322,6749799.406196213,5.227723284982938
429556.35840707965,6948331.424778761,4.2719281337214765
502983.4318181818,7659076.613636364,4.119661588030654
307908.0731707317,7070340.320121951,3.855938898286952
504832.7849829352,7046164.798634812,5.003759414413796
310730.9191919192,6753998.931818183,1.8934565889544006
251219.56962025317,6868533.82278481,2.5809188981425906
230991.6701754386,6796806.919298246,4.603945115895896
426835.74788902287,6760154.411338963,1.8403110633885753
577220.8632478632,7195233.632478633,2.930688269429506
619619.7380952381,7055397.658730159,3.6127806962186733
297193.67634854774,6849418.535269709,2.4022294048714317
426476.22330097086,7093773.665048543,3.2463231680133644
643695.4464944649,6943884.47601476,5.050021661660886
259928.7149758454,6771192.1352657005,5.168656105350101
204766.73684210525,6763306.013645223,4.242249131657908
