X,Y
385510.7501185396,6674764.030820294,2.0567598406820826
341549.0876494024,6708421.737051792,4.114421799414031
555057.2263473053,6819180.034730539,3.731831589372072
432175.16367713007,6700068.282511211,4.99166859316335
299949.3598901099,6660921.975274725,2.186193346088348
278288.9016064257,6803459.469879518,2.0693244547432443
367961.0792253521,6752701.746478873,3.4112234752146597
239070.58729179518,6712445.777914868,2.524624410048076
240195.46290801186,6930359.367952522,5.151198521674954
591281.5691609978,6955442.674225246,4.346760579959184
463791.33237410075,7422720.753956835,5.169740867289095
439345.90733590734,6911021.549034749,4.6730042723084235
427349.13241678727,7224689.899421128,4.647454275070016
376224.9475703325,6681714.448849105,2.045984797517508
340497.56144067796,7081487.860169492,3.366836483069015
493495.25751503004,6733189.805611222,1.8958481519589567
346978.50238095236,6675828.502380952,3.839537349741727
227744.11931818182,6833172.060227273,4.638953924262929
432294.4875478927,6769052.248084291,4.906456177986881
280295.05,6701237.126190476,3.990855651457998
220737.42521367522,6789337.395299145,4.456135746182523
531397.0143805309,7102077.515486726,3.753370173700327
331137.59830866806,6791888.372093023,3.8431058018819315
340301.2818181818,6958368.206060606,4.0227024853700994
258063.56244384547,6997209.7286612755,4.3594677457812
207694.70967741936,6748014.451612903,3.9904661098968446
389535.37228714523,6715937.3372287145,2.8363740574884178
392943.8300395257,6684571.03030303,2.435236257282281
289219.8461538461,6751023.8561872905,1.808627808304087
326739.4321868916,6828113.660609993,2.1784546242622436
